model,store,product,horizon,smape,mase,rmse,rmsle
SARIMAX,S004,P0011,28,44.142,0.7514,55.7098,0.5983
SARIMAX,S004,P0012,28,52.8866,1.4323,53.043,0.6637
SARIMAX,S004,P0013,28,53.5479,0.8437,60.3269,0.7414
SARIMAX,S004,P0014,28,46.8619,0.8701,37.5573,0.6115
SARIMAX,S004,P0015,28,50.7136,1.1196,39.659,0.688
SARIMAX,S004,P0016,28,57.0804,0.8034,48.9402,0.8756
SARIMAX,S004,P0017,28,27.8678,0.6297,32.6491,0.4062
SARIMAX,S004,P0018,28,42.7711,1.0821,29.7115,0.58
SARIMAX,S004,P0019,28,45.8501,1.4373,56.3177,0.6113
SARIMAX,S004,P0020,28,42.0901,0.6276,32.8552,0.7139
SARIMAX,S005,P0001,28,49.2838,0.8109,52.2873,0.7954
SARIMAX,S005,P0002,28,45.4285,0.6244,48.9517,0.5685
SARIMAX,S005,P0003,28,40.8524,0.8161,34.4012,0.6571
SARIMAX,S005,P0004,28,45.3408,1.15,58.0423,0.6042
SARIMAX,S005,P0005,28,46.0669,1.0432,51.4451,0.881
SARIMAX,S005,P0006,28,51.6098,0.7693,68.8955,0.8135
SARIMAX,S005,P0007,28,63.52,1.6112,69.1203,0.8395
SARIMAX,S005,P0008,28,45.5986,1.0709,50.9666,0.5521
SARIMAX,S005,P0009,28,43.23,0.6043,52.7938,0.8356
SARIMAX,S005,P0010,28,69.2283,1.7429,92.6653,0.8945
SARIMAX,S005,P0011,28,53.6894,1.3149,60.8759,0.9124
SARIMAX,S005,P0012,28,62.9227,1.225,48.0662,0.8448
SARIMAX,S005,P0013,28,44.9799,0.7252,53.7307,0.5796
SARIMAX,S005,P0014,28,40.2847,0.7589,33.2148,0.671
SARIMAX,S005,P0015,28,36.2388,0.9882,42.6281,0.6857
SARIMAX,S005,P0016,28,56.4635,0.9647,53.4757,0.9906
SARIMAX,S005,P0017,28,56.6457,1.0214,48.3985,0.7832
SARIMAX,S005,P0018,28,32.8284,0.9432,40.9313,0.4342
SARIMAX,S005,P0019,28,56.4081,1.0346,42.5193,0.7345
SARIMAX,S005,P0020,28,51.385,1.1534,38.6478,0.7197
